"In the context of linear systems, what does the equation $\mathbf{A}\mathbf{x} = \mathbf{b}$ represent?","The original, unperturbed linear equation system."
"If the right-hand side of a linear system is perturbed, how is the new right-hand side vector $\tilde{\mathbf{b}}$ defined?",$\tilde{\mathbf{b}} = \mathbf{b} + \Delta\mathbf{b}$
What is the relationship between the relative error of the solution and the relative error of the right-hand side when only $\mathbf{b}$ is perturbed?,$\frac{\|\mathbf{x} - \tilde{\mathbf{x}}\|}{\|\mathbf{x}\|} \leq \mathrm{cond}(\mathbf{A}) \frac{\|\mathbf{b} - \tilde{\mathbf{b}}\|}{\|\mathbf{b}\|}$
"In the perturbation theorem for the right-hand side, what role does $\mathrm{cond}(\mathbf{A})$ play?",It acts as a factor that bounds how much the relative error in the input is amplified in the output.
Subtracting $\mathbf{A}\mathbf{x} = \mathbf{b}$ from $\mathbf{A}\tilde{\mathbf{x}} = \tilde{\mathbf{b}}$ yields which expression?,$\mathbf{A}(\mathbf{x} - \tilde{\mathbf{x}}) = \mathbf{b} - \tilde{\mathbf{b}}$
"In the proof of the perturbation theorem, the solution difference $\mathbf{x} - \tilde{\mathbf{x}}$ is expressed as \_\_\_\_\_.",$\mathbf{A}^{-1}(\mathbf{b} - \tilde{\mathbf{b}})$
Which matrix norm inequality is used to bound $\|\mathbf{x} - \tilde{\mathbf{x}}\|$ in the perturbation proof?,$\|\mathbf{x} - \tilde{\mathbf{x}}\| \leq \|\mathbf{A}^{-1}\| \|\mathbf{b} - \tilde{\mathbf{b}}\|$
Which inequality relates the norm of the right-hand side $\|\mathbf{b}\|$ to the norm of the solution $\|\mathbf{x}\|$?,$\|\mathbf{b}\| \leq \|\mathbf{A}\| \|\mathbf{x}\|$
How does a one-order-of-magnitude increase in $\mathrm{cond}(\mathbf{A})$ typically affect the precision of the numerical solution?,It can result in the loss of one significant digit in the approximation.
"In the general case of perturbation, which two components of the linear system are modified?",The coefficient matrix $\mathbf{A}$ and the right-hand-side vector $\mathbf{b}$.
What condition must the perturbation $\|\mathbf{A} - \tilde{\mathbf{A}}\|$ satisfy for the general perturbation theorem to hold?,$\|\mathbf{A} - \tilde{\mathbf{A}}\| < \frac{1}{\|\mathbf{A}^{-1}\|}$
"Under the condition $\|\mathbf{A} - \tilde{\mathbf{A}}\| < \frac{1}{\|\mathbf{A}^{-1}\|}$, what can be said about the perturbed matrix $\tilde{\mathbf{A}}$?",It is guaranteed to be invertible (nonsingular).
The expression $\|(\tilde{\mathbf{A}})^{-1}\| \leq \frac{\|\mathbf{A}^{-1}\|}{1 - \|\mathbf{A}^{-1}\| \|\mathbf{A} - \tilde{\mathbf{A}}\|}$ is a bound derived for \_\_\_\_\_.,The norm of the inverse of the perturbed coefficient matrix.
"In the general perturbation theorem, the solution error $\mathbf{x} - \tilde{\mathbf{x}}$ is rearranged as \_\_\_\_\_.",$(\tilde{\mathbf{A}})^{-1}(\mathbf{b} - \tilde{\mathbf{b}} - (\mathbf{A} - \tilde{\mathbf{A}})\mathbf{x})$
What is the upper bound for the relative error $\frac{\|\mathbf{x} - \tilde{\mathbf{x}}\|}{\|\mathbf{x}\|}$ when both $\mathbf{A}$ and $\mathbf{b}$ are perturbed?,$\frac{\mathrm{cond}(\mathbf{A})}{1 - \mathrm{cond}(\mathbf{A}) \frac{\|\mathbf{A} - \tilde{\mathbf{A}}\|}{\|\mathbf{A}\|}} \left( \frac{\|\mathbf{A} - \tilde{\mathbf{A}}\|}{\|\mathbf{A}\|} + \frac{\|\mathbf{b} - \tilde{\mathbf{b}}\|}{\|\mathbf{b}\|} \right)$
"If $\mathrm{cond}(\mathbf{A}) \frac{\|\mathbf{A} - \tilde{\mathbf{A}}\|}{\|\mathbf{A}\|}$ is close to 1, what happens to the error bound in the general perturbation theorem?","The denominator becomes close to zero, causing the error bound to become very large."
What is the minimum possible value for the condition number $\mathrm{cond}(\mathbf{A})$ of an invertible matrix?,$1$
How is the spectral condition number $\mathrm{cond}_*(\mathbf{A})$ defined?,$\mathrm{cond}_*(\mathbf{A}) = \rho(\mathbf{A}) \rho(\mathbf{A}^{-1})$
What relationship exists between the spectral condition number $\mathrm{cond}_*(\mathbf{A})$ and any norm-based condition number $\mathrm{cond}(\mathbf{A})$?,$\mathrm{cond}_*(\mathbf{A}) \leq \mathrm{cond}(\mathbf{A})$
Why is the spectral condition number often difficult to compute for large matrices?,It requires the calculation of the matrix's eigenvalues (spectral radius).
"According to Gastinel's Theorem, $\frac{1}{\mathrm{cond}(\mathbf{A})}$ is equal to the minimum \_\_\_\_\_ distance between $\mathbf{A}$ and the set of singular matrices.",Relative
Gastinel's Theorem Formula: $\frac{1}{\mathrm{cond}(\mathbf{A})} = \min \{ \dots \}$,$\min \left\{ \frac{\|\mathbf{A} - \mathbf{B}\|}{\|\mathbf{A}\|} : \mathbf{B} \text{ is singular} \right\}$
